Date,Frequency
11/26/2019,0.5714285714285714
11/26/2020,
11/27/2018,0.5
11/27/2019,0.2222222222222222
11/27/2020,
11/28/2016,0.5
11/28/2017,
11/28/2018,
11/29/2017,
11/29/2018,0.2
11/29/2019,0.5
11/3/2016,
11/3/2017,0.5
11/3/2018,
11/3/2019,0.3333333333333333
11/3/2020,0.3333333333333333
11/30/2016,
11/30/2018,0.2857142857142857
11/30/2019,1.0
11/30/2020,1.0
11/4/2016,0.4
11/4/2017,
11/4/2018,
11/4/2019,0.6666666666666666
11/5/2016,
11/5/2017,
11/5/2018,
11/5/2019,
11/6/2016,
11/6/2018,0.3333333333333333
11/6/2019,0.3333333333333333
11/6/2020,0.5
11/7/2016,
11/7/2017,1.0
11/7/2018,
11/7/2019,
11/7/2020,1.0
11/8/2016,0.2
11/8/2017,0.5
11/8/2018,0.4
11/8/2019,0.25
11/8/2020,
11/9/2016,1.0
11/9/2017,
11/9/2018,0.4444444444444444
11/9/2020,0.5
12/1/2016,0.5
12/1/2017,
12/1/2018,0.125
12/1/2019,
12/10/2018,0.8333333333333334
12/10/2019,1.0
12/10/2020,
12/11/2016,0.5
12/11/2017,0.5
12/11/2018,1.0
12/11/2019,0.3333333333333333
12/11/2020,0.3333333333333333
12/12/2016,0.5
12/12/2017,0.5
12/12/2018,0.6666666666666666
12/12/2019,0.4
12/12/2020,1.0
12/13/2016,0.5
12/13/2017,
12/13/2018,0.6666666666666666
12/13/2019,0.4
12/14/2016,0.5
12/14/2017,
12/14/2018,1.0
12/14/2019,0.3333333333333333
12/14/2020,
12/15/2016,1.0
12/15/2017,0.3333333333333333
12/15/2019,0.3333333333333333
12/15/2020,
12/16/2016,0.3333333333333333
12/16/2018,
12/16/2019,0.25
12/16/2020,
12/17/2016,1.0
12/17/2018,
12/17/2019,
12/17/2020,
12/18/2016,1.0
12/18/2017,0.3333333333333333
12/18/2018,
12/18/2019,
12/18/2020,0.5
12/19/2016,0.3333333333333333
12/19/2017,0.25
12/19/2018,
12/19/2019,0.625
12/19/2020,1.0
12/2/2016,
12/2/2019,0.3333333333333333
12/2/2020,0.6666666666666666
12/20/2016,1.0
12/20/2017,
12/20/2018,0.8
12/20/2019,0.3076923076923077
12/21/2016,
12/21/2017,0.5
12/21/2018,0.4444444444444444
12/21/2019,1.0
12/21/2020,
12/22/2017,
12/22/2018,
12/22/2020,0.6666666666666666
12/23/2016,
12/23/2017,
12/23/2018,
12/23/2019,
12/24/2016,
12/24/2017,
12/24/2018,
12/24/2020,
12/25/2016,
12/25/2017,
12/25/2018,
12/25/2020,
12/26/2017,
12/26/2019,
12/27/2016,
12/27/2017,
12/27/2018,
12/27/2019,
12/28/2016,
12/28/2017,
12/28/2018,
12/28/2020,0.5
12/29/2016,
12/29/2017,0.5
12/29/2018,0.6666666666666666
12/29/2019,
12/3/2017,
12/3/2018,
12/3/2019,0.6666666666666666
12/3/2020,1.0
12/30/2020,
12/31/2016,0.6666666666666666
12/31/2017,1.0
12/31/2018,
12/31/2019,
12/4/2017,0.4444444444444444
12/4/2018,
12/4/2019,0.5
12/4/2020,
12/5/2016,
12/5/2017,0.4
12/5/2018,
12/5/2019,0.42857142857142855
12/5/2020,0.5
12/6/2017,0.3333333333333333
12/6/2018,0.5
12/6/2019,0.2
