date,headline,polarity,subjectivity
4/4/2016,"Analysis: Bill Clinton: Star surrogate, reminder of Hillary Clinton‚s liabilities",0.0,0.0
4/5/2016,"Georgetown professors: Naming George Mason‚s law school after Scalia is fitting, for his opinions endure",0.5,0.5
4/5/2016,Here‚s how to say Donald Trump‚ in American Sign Language,0.0,0.0
4/6/2016,The team behind the late Willow in Arlington is now at Campono in the Watergate,-0.35,0.6499999999999999
4/7/2016,Why is former Donald Trump adviser Roger Stone being blacklisted by the media?,0.0,0.0
4/9/2016,"As All the President‚s Men‚ turns 40 today, let‚s follow our favorite shots from the movie",0.5,1.0
4/11/2016,Panama Papers Leak Signals a Shift in Mainstream Journalism,0.0,0.0
4/13/2016,Opinion | Trump‚s best‚ people are seriously flawed,-0.5,0.5
4/15/2016,"Elvis & Nixon‚ Is Based on a Strange, Real-Life Meeting",-0.05,0.15
4/18/2016,Jessica Chastain is filming Miss Sloane‚ at the Watergate,0.0,0.0
4/19/2016,Opinion | Ted Cruz and the revenge of New York values,0.13636363636363635,0.45454545454545453
4/19/2016,Vietnamese girls smuggled into China and sold as child brides,0.0,0.0
4/19/2016,Potential G.O.P. Convention Fight Puts Older Hands in Sudden Demand,0.05555555555555555,0.611111111111111
4/19/2016,"Volkswagen Case Gives Judge, Onetime Aspiring Actor, Role of a Lifetime",0.0,0.0
4/20/2016,An Elvis & Nixon‚ screening at the spot where the film started: the National Archives,0.0,0.0
4/21/2016,Philadelphia restaurants are moving in on D.C. Get used to it.,0.0,0.0
4/22/2016,How child predator was caught by tiny clue in photo he posted online,0.0,0.5
4/26/2016,Here are all the sports events California state lawmakers attended for free,0.4,0.8
4/26/2016,"Your Tuesday Briefing: Hillary Clinton, Tom Brady, Chernobyl",0.0,0.0
4/26/2016,The Cult of Sore Losers,-0.2,0.2
4/27/2016,TV‚s Dwindling Middle Class,0.0,0.0
5/3/2016,Analysis | The original Clinton rumor debunkers should prepare for a busy year,0.2375,0.525
5/3/2016,"The Hotlist: 13 things to see, eat, drink and do in May",0.0,0.0
5/5/2016,"Robert Bennett, Former Senator from Utah and Tea Party Casualty, Dies at 82",0.0,0.0
5/6/2016,Opinion | Michael Bloomberg dissed his own television show in D.C. meeting,0.6,1.0
5/6/2016,Opinion | Hillary Clinton is going to be exonerated on the email controversy. It won‚t matter.,0.0,0.0
5/8/2016,Captain America: Civil War‚ directors reveal how their movie flexes these political meanings,0.0,0.1
5/9/2016,11 things to do in the D.C. area the week of May 9-15,0.0,0.0
5/10/2016,Michael Bloomberg apologizes for Haldeman and Ehrlichman‚ remarks,0.0,0.0
5/10/2016,Paul Ryan Revives a Lost Washington Art,0.0,0.0
5/10/2016,What‚s the Best Book Written About Siblings?,1.0,0.3
5/11/2016,The bizarre story of when Captain America battled Nixon,0.4,0.6
5/11/2016,Is Trump the last gasp of Reagan‚s Republican Party?,0.0,0.06666666666666667
5/11/2016,"After Conventions, a Debt to Donors",0.0,0.0
5/12/2016,"Delbert Latta, 30-year Ohio congressman and GOP bulldog, dies at 96",0.0,0.0
5/12/2016,11 things to do in the D.C. area on the weekend of May 13-15,0.0,0.0
