date,frequency
3/28/2018,1
3/28/2019,1
3/29/2017,2
3/29/2018,1
3/29/2019,2
3/3/2017,2
3/30/2017,2
3/30/2019,1
3/31/2017,1
3/31/2018,1
3/4/2017,5
3/4/2019,2
3/5/2017,4
3/5/2018,1
3/5/2019,2
3/6/2017,13
3/6/2019,1
3/7/2017,6
3/7/2019,1
3/8/2017,2
3/9/2017,1
4/1/2016,1
4/1/2018,1
4/1/2019,1
4/10/2018,2
4/11/2017,1
4/11/2018,3
4/11/2019,1
4/12/2017,1
4/12/2018,2
4/13/2016,1
4/13/2017,1
4/13/2020,1
4/15/2019,1
4/16/2018,1
4/16/2019,2
4/18/2018,1
4/18/2019,5
4/19/2019,6
4/2/2017,1
4/20/2017,1
4/20/2018,4
4/20/2019,4
4/21/2019,1
4/22/2019,3
4/22/2020,1
4/23/2017,1
4/23/2019,1
4/24/2018,1
4/24/2019,4
4/25/2018,1
4/25/2019,5
4/26/2017,1
4/26/2018,2
4/26/2019,3
4/27/2017,2
4/27/2018,1
4/28/2017,2
4/28/2019,1
4/28/2020,1
4/29/2017,2
4/3/2018,1
4/3/2020,1
4/30/2017,1
4/30/2018,1
4/30/2019,1
4/4/2017,3
4/4/2020,1
4/5/2016,1
4/5/2017,2
4/5/2018,1
4/7/2016,1
4/7/2019,1
4/7/2020,3
4/8/2019,2
4/8/2020,2
4/9/2018,1
5/1/2017,2
5/1/2019,2
5/10/2017,19
5/10/2018,2
5/10/2019,1
5/10/2020,1
5/11/2016,1
5/11/2017,9
5/11/2018,1
5/11/2019,1
5/11/2020,1
5/12/2016,1
5/12/2017,8
5/12/2019,2
5/12/2020,2
5/13/2017,4
5/13/2020,1
5/14/2016,1
5/14/2017,1
5/14/2019,4
5/14/2020,2
5/15/2017,4
5/15/2019,3
5/15/2020,3
5/16/2017,5
5/16/2018,2
5/16/2019,1
5/17/2016,1
5/17/2017,9
5/17/2018,5
5/18/2017,4
5/18/2018,7
5/18/2019,1
5/18/2020,2
5/19/2017,7
5/19/2018,1
5/19/2020,1
5/2/2018,3
5/2/2019,3
5/20/2017,2
5/20/2018,2
5/20/2019,3
5/21/2018,2
5/21/2019,2
5/21/2020,3
5/22/2017,2
5/22/2018,3
5/22/2019,2
5/22/2020,2
5/23/2017,5
5/23/2018,4
5/23/2019,1
5/24/2018,1
5/24/2019,1
5/25/2016,1
5/25/2017,2
5/25/2018,4
5/25/2020,1
5/26/2017,1
5/26/2018,1
5/27/2020,1
5/28/2020,1
5/29/2019,1
5/3/2017,2
5/3/2018,2
5/3/2019,2
5/30/2017,2
5/30/2018,1
5/30/2019,2
5/31/2017,1
5/31/2018,1
5/31/2019,1
5/4/2018,1
5/4/2019,1
5/5/2018,1
5/5/2019,1
5/7/2018,1
5/7/2019,5
5/8/2017,1
5/8/2018,1
5/8/2019,7
5/8/2020,2
5/9/2017,4
5/9/2018,3
5/9/2019,1
6/1/2017,2
6/1/2018,2
6/1/2020,1
6/10/2016,3
6/10/2017,1
6/10/2018,1
6/10/2019,2
6/11/2019,4
6/11/2020,1
6/12/2017,2
6/12/2018,3
6/12/2019,1
6/13/2017,8
6/13/2020,1
6/14/2016,1
6/14/2019,1
6/16/2017,4
6/16/2019,1
6/16/2020,1
6/17/2018,1
6/17/2019,2
6/18/2017,1
6/18/2018,1
6/18/2019,1
6/18/2020,1
6/2/2017,2
6/2/2018,2
6/2/2020,1
6/20/2017,1
6/20/2019,2
6/22/2017,6
6/23/2017,1
6/23/2020,1
6/24/2019,2
6/26/2019,1
6/26/2020,1
6/27/2017,1
6/28/2017,1
6/28/2020,1
6/29/2018,1
6/29/2020,1
6/3/2017,1
6/3/2018,1
6/3/2019,2
6/30/2017,1
6/30/2018,1
6/4/2018,5
6/4/2020,2
6/5/2017,2
6/5/2018,4
6/5/2019,2
6/6/2017,1
6/6/2019,1
6/7/2017,3
6/7/2018,2
6/8/2017,5
6/8/2018,1
6/9/2017,3
6/9/2019,1
7/1/2017,1
7/10/2020,2
7/11/2017,1
7/11/2019,2
7/11/2020,2
7/12/2016,1
7/12/2017,2
7/12/2018,1
7/13/2017,2
7/13/2020,2
7/14/2017,1
7/14/2019,1
7/15/2018,1
7/15/2020,1
7/16/2020,2
7/17/2018,3
7/17/2019,1
7/17/2020,90
7/18/2017,1
7/18/2018,2
7/19/2017,3
7/19/2019,1
7/2/2018,1
7/2/2019,1
7/2/2020,2
7/20/2017,3
7/20/2018,2
7/20/2019,1
7/21/2017,1
7/21/2018,1
7/22/2017,4
7/22/2020,1
7/24/2017,2
7/24/2019,3
7/25/2017,2
7/25/2018,1
7/25/2019,2
7/26/2019,1
7/27/2016,1
7/27/2017,2
7/27/2020,1
7/28/2016,1
7/29/2018,1
7/29/2019,1
7/3/2020,1
7/30/2018,2
7/30/2020,1
7/31/2017,2
7/31/2018,3
7/4/2017,1
7/5/2018,1
7/5/2019,1
7/9/2020,6
8/1/2016,1
8/1/2017,3
8/1/2018,2
8/11/2016,1
8/12/2016,1
8/13/2018,1
8/13/2019,1
8/14/2017,1
8/14/2020,1
8/15/2018,1
8/15/2019,1
8/16/2016,1
8/16/2018,1
8/17/2017,1
8/17/2018,3
8/18/2016,1
8/18/2018,1
8/18/2020,1
8/19/2018,4
8/2/2017,1
8/2/2018,1
8/20/2017,1
8/21/2018,3
8/21/2019,1
8/21/2020,2
8/22/2018,10
8/23/2018,3
8/24/2018,4
8/25/2018,1
8/25/2020,1
8/26/2016,1
8/26/2018,1
8/28/2017,3
8/29/2018,3
8/3/2017,3
8/3/2018,1
8/30/2018,3
8/31/2016,1
8/31/2017,1
8/31/2018,2
8/4/2017,1
8/5/2016,1
8/5/2018,1
8/5/2020,2
8/6/2019,1
8/7/2017,1
8/7/2018,1
8/9/2017,1
8/9/2019,1
9/1/2017,2
9/1/2018,1
9/1/2020,1
9/10/2018,1
9/10/2019,2
9/10/2020,3
9/11/2017,2
9/11/2018,1
9/11/2020,1
9/12/2017,1
9/12/2019,1
9/13/2016,1
9/13/2020,2
